tau_fs,N_CWE_caseA,N_UPPE_caseA,cost_CWE_caseA,cost_UPPE_caseA,ratio_caseA,N_CWE_caseB,N_UPPE_caseB,cost_CWE_caseB,cost_UPPE_caseB,ratio_caseB
74.81620840637262,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
77.45933062002423,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
80.19582959233723,32,1024,480.0,10240.0,21.333333333333332,64,4096,1152.0,49152.0,42.666666666666664
83.029004156416,32,2048,480.0,22528.0,46.93333333333333,64,4096,1152.0,49152.0,42.666666666666664
85.96226968721108,32,2048,480.0,22528.0,46.93333333333333,64,4096,1152.0,49152.0,42.666666666666664
88.9991622187344,32,2048,480.0,22528.0,46.93333333333333,64,4096,1152.0,49152.0,42.666666666666664
92.1433427067249,32,2048,480.0,22528.0,46.93333333333333,64,4096,1152.0,49152.0,42.666666666666664
95.39860144190978,32,2048,480.0,22528.0,46.93333333333333,64,4096,1152.0,49152.0,42.666666666666664
98.76886261917842,32,2048,480.0,22528.0,46.93333333333333,64,4096,1152.0,49152.0,42.666666666666664
102.25818906817352,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
105.87078715100893,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
109.61101183301527,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
113.48337193262209,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
117.49253555671255,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
121.64333572799983,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
125.94077621120411,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
130.39003754506243,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
134.99648328743856,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
139.7656664810569,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
144.7033363476635,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
149.81544521868022,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
155.10815571070134,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
160.58784815449226,32,2048,480.0,22528.0,46.93333333333333,32,4096,480.0,49152.0,102.4
166.2611282864422,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
172.13483521173518,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
178.2160496488557,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
184.51210246534754,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
191.03058351513351,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
197.77935078803733,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
204.7665398825463,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
212.00057381322108,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
219.49017316459572,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
227.24436660378416,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
235.27250176448675,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
243.58425651550945,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
252.18965062737135,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
261.0990578510802,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
270.32321842363064,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
279.8732520152891,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
289.76067113429264,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
299.99739500511237,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
310.5957639369999,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
321.5685542001596,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
332.9289934274699,32,4096,480.0,49152.0,102.4,32,4096,480.0,49152.0,102.4
344.69077656030726,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
356.8680823577201,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
369.47559048884193,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
382.52849922913464,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
396.04254378183,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
410.0340152466123,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
424.51978025844755,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
439.51730132020765,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
455.04465785361936,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
471.12056799388716,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
487.764411154307,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
504.99625138802014,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
522.8368615751161,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
541.3077484642113,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
560.4311785987139,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
580.230205158994,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
600.7286957528706,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
621.9513611878556,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
643.9237852598893,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
666.6724555944619,32,8192,480.0,106496.0,221.86666666666667,32,8192,480.0,106496.0,221.86666666666667
